GPS Log,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
86,30:14.1,579,-2.436894,51.377339,73.6,181.9,0.9,0.16
87,30:15.1,580,-2.436941,51.377316,73.6,181.9,15.1,0.164
88,30:30.1,595,-2.436946,51.377314,73.6,180.9,0.1,0.165
89,30:41.1,606,-2.436948,51.377328,73.6,181.9,0.5,0.166
90,30:47.1,612,-2.436949,51.377334,73.6,181.9,0.4,0.167
91,31:02.1,627,-2.436952,51.377306,73.6,181.9,0.8,0.17
92,31:10.1,635,-2.436951,51.377326,73.6,181.9,1,0.172
93,31:19.1,644,-2.43695,51.377335,73.6,177.4,0.4,0.173
94,31:20.1,645,-2.436953,51.377325,73.6,177.4,3.8,0.174
95,31:35.1,660,-2.436954,51.377323,73.6,177.4,0.1,0.174
96,31:42.1,667,-2.436951,51.377333,73.6,177.3,0.6,0.176
97,31:50.1,675,-2.436951,51.377336,73.6,177.3,0.2,0.176
98,31:51.1,676,-2.436946,51.377315,73.6,177.3,8.4,0.178
99,32:06.1,691,-2.436945,51.37731,73.6,177.3,0.1,0.179
100,32:21.1,706,-2.436945,51.377309,73.6,177.3,0,0.179
101,32:27.1,712,-2.436949,51.377333,73.6,163.1,1.6,0.182
102,32:28.1,713,-2.436955,51.377315,73.6,163.1,7.3,0.184
103,32:35.1,720,-2.436951,51.377338,73.6,163.1,1.3,0.186
104,32:42.1,727,-2.43695,51.377338,73.6,154.7,0,0.186
105,32:43.1,728,-2.436952,51.377323,73.6,154.7,6.2,0.188
106,32:51.1,736,-2.43695,51.377336,73.6,151.5,0.6,0.19
107,32:52.1,737,-2.436955,51.377323,73.6,151.5,5.1,0.191
108,33:01.1,746,-2.436952,51.377333,73.6,151.5,0.5,0.192
109,33:16.1,761,-2.43695,51.377335,73.6,151.5,0.1,0.192
110,33:17.1,762,-2.436957,51.377329,73.6,151.5,3,0.193
111,33:32.1,777,-2.436959,51.377327,73.6,151.5,0.1,0.193
112,33:39.1,784,-2.436953,51.377334,73.6,151.5,0.4,0.194
113,33:47.1,792,-2.436953,51.377336,73.6,150.5,0.1,0.194
114,34:02.1,807,-2.436956,51.37732,72.9,150.5,0.4,0.196
115,34:10.1,815,-2.436951,51.377335,71.6,150.5,0.8,0.198
116,34:11.1,816,-2.436961,51.377329,71.6,150.5,3.6,0.199
117,34:17.1,822,-2.436951,51.377339,71.6,149.3,0.8,0.2
118,34:23.1,828,-2.43695,51.377338,71.6,156.4,0.1,0.2
119,34:24.1,829,-2.436951,51.377317,71.6,156.4,8.6,0.203
120,34:30.1,835,-2.43695,51.377333,71.6,156.4,1.1,0.204
121,34:45.1,850,-2.436949,51.377337,71.6,156.4,0.1,0.205
122,34:46.1,851,-2.436951,51.377317,71.6,156.4,7.9,0.207
123,34:56.1,861,-2.43695,51.377335,71.3,156.4,0.7,0.209
124,35:11.1,876,-2.43695,51.37733,71.3,156.3,0.1,0.21
125,35:12.1,877,-2.436957,51.377323,71.3,156.3,3.3,0.211
126,35:27.1,892,-2.436958,51.377321,71.3,156.3,0.1,0.211
127,35:42.1,907,-2.436959,51.37732,71.3,157.3,0,0.211
128,35:57.1,922,-2.436959,51.37732,71.3,157.3,0,0.211
129,36:12.1,937,-2.436959,51.37732,71.3,157.3,0,0.211
130,36:27.1,952,-2.436959,51.37732,71.3,157.3,0,0.211
131,36:42.1,967,-2.436952,51.377335,71.3,157.2,0.4,0.213
132,36:57.1,982,-2.436946,51.377304,71.3,157.2,0.8,0.216
133,37:12.1,997,-2.436949,51.377325,71.3,157.2,0.5,0.218
134,37:13.1,998,-2.436944,51.377296,71.3,157.2,11.3,0.221
135,37:27.1,"1,012.00",-2.436948,51.377323,71.3,157.2,0.8,0.224
136,37:35.1,"1,020.00",-2.436949,51.377331,71.3,155.9,0.4,0.225
137,37:50.1,"1,035.00",-2.43695,51.377328,71.3,156.9,0.1,0.226
138,37:51.1,"1,036.00",-2.436936,51.377298,71.3,156.9,12.4,0.229
139,38:03.1,"1,048.00",-2.436948,51.377331,71.3,156.7,1.1,0.233
140,38:11.1,"1,056.00",-2.436953,51.377339,71.3,154.9,0.4,0.234
141,38:22.1,"1,067.00",-2.436951,51.377336,71.3,155.7,0.1,0.234
142,38:23.1,"1,068.00",-2.436963,51.377329,71.3,155.7,4,0.235
143,38:35.1,"1,080.00",-2.436952,51.377337,71.3,157.8,0.3,0.236
144,38:36.1,"1,081.00",-2.436942,51.377307,71.3,157.8,12.3,0.24
145,38:47.1,"1,092.00",-2.436948,51.377333,71.3,157.4,1,0.243
146,38:54.1,"1,099.00",-2.43695,51.377338,71.3,156.5,0.3,0.243
147,38:55.1,"1,100.00",-2.43695,51.377325,71.3,157.5,5.3,0.245
