Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
89,35:46.0,89,-2.496612,51.445339,60.1,274.7,5.5,0.281
90,35:47.0,90,-2.496642,51.445338,60.3,274.7,7.3,0.283
91,35:48.0,91,-2.49669,51.445338,60.4,274.7,12,0.286
92,35:49.0,92,-2.496746,51.445337,60.6,274.7,14.2,0.29
93,35:50.0,93,-2.496813,51.445333,60.9,270.2,16.7,0.295
94,35:51.0,94,-2.496887,51.445321,61.1,251.6,19.1,0.3
95,35:52.0,95,-2.496947,51.445329,61.3,233.6,15.3,0.305
96,35:53.0,96,-2.496984,51.445346,61.5,217.3,11.4,0.308
97,35:54.0,97,-2.497001,51.445343,61.6,206.6,4.7,0.309
98,35:55.0,98,-2.497022,51.445168,61.4,200.1,69.9,0.328
99,35:56.0,99,-2.497032,51.445118,61.2,194.6,20.1,0.334
100,35:57.0,100,-2.497038,51.445071,60.9,197.7,18.9,0.339
101,35:58.0,101,-2.497051,51.445028,60.8,205.4,17.7,0.344
102,35:59.0,102,-2.497023,51.444998,60.3,220.3,13.8,0.348
103,36:00.0,103,-2.49703,51.44498,60.5,241.4,7.5,0.35
104,36:01.0,104,-2.497155,51.444964,60.6,259.7,31.9,0.359
105,36:02.0,105,-2.497208,51.444957,60.8,272,13.5,0.363
106,36:03.0,106,-2.497247,51.444956,60.9,293.2,9.6,0.365
107,36:04.0,107,-2.497275,51.444967,61.1,327.3,8.3,0.368
108,36:05.0,108,-2.4973,51.444998,61.5,355,13.8,0.372
109,36:06.0,109,-2.497308,51.445035,61.7,358.4,15.1,0.376
110,36:07.0,110,-2.497311,51.445065,61.6,358.4,12,0.379
111,36:08.0,111,-2.497355,51.445089,61.7,357.4,14.6,0.383
112,36:09.0,112,-2.497365,51.445125,61.8,359.4,14.8,0.387
113,36:10.0,113,-2.497373,51.445153,61.7,13.9,11.2,0.39
114,36:11.0,114,-2.497378,51.445172,61.8,43.5,7.8,0.392
115,36:12.0,115,-2.497371,51.445182,62,72.5,4.3,0.394
116,36:13.0,116,-2.497369,51.445182,61.7,88.1,0.8,0.394
